Recipe Name,Description,Servings,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4,Ingredient 5,Ingredient 6,Ingredient 7
Healthy Breakfast Bowl,Nutritious start to your day,2,100g Oats,200ml Whole Milk,50g Almonds,30g Honey,100g Carrot,,
Indian Paneer Curry,Creamy and delicious,4,250g Paneer,100g Tomato,50g Onion,20g Butter,10ml Sunflower Oil,2g Salt,5g Red Chili Powder
Chickpea Salad,High protein vegetarian,3,200g Chickpeas,100g Tomato,50g Onion,50g Carrot,30g Spinach,10ml Olive Oil,2g Salt
Homemade Trail Mix,Perfect snacking option,10,100g Almonds,100g Cashews,50g Peanuts,50g Honey,10g Jaggery,,
Cheese and Vegetable Toast,Quick lunch idea,2,100g White Bread,50g Cheddar Cheese,20g Butter,50g Tomato,30g Onion,,
Lentil Soup,Warm and filling,4,200g Chickpeas,150g Tomato,100g Onion,50g Carrot,3g Turmeric Powder,5g Red Chili Powder,10ml Olive Oil
Sweet Honey Almonds,Energy boosting snack,5,150g Almonds,100g Honey,10g Jaggery,,,,
Vegetable Fried Rice,Comfort food,4,300g Rice Flour,100g Tomato,100g Onion,50g Carrot,50g Spinach,20ml Sunflower Oil,3g Salt
Paneer Tikka,Party appetizer,6,400g Paneer,200ml Yogurt (Plain),100g Tomato,50g Onion,10ml Olive Oil,5g Red Chili Powder,3g Turmeric Powder
Mixed Nut Butter,Homemade spread,8,100g Almonds,100g Peanuts,50g Cashews,20ml Sunflower Oil,,
